area,perimeter,aspect_ratio,contour_points_count,circularity,class_label
571.0,251.2792181968689,2.0689655172413794,134,0.11364041941599734,Catharanthus
305.5,393.83051455020905,0.6938775510204082,252,0.02475154727681579,Catharanthus
1565.5,308.29141068458557,1.434782608695652,169,0.20698557776641177,Catharanthus
830.5,542.7422021627426,2.575,311,0.03542927912596399,Catharanthus
541.5,425.97265017032623,1.511111111111111,252,0.037501176541790845,Catharanthus
1556.0,400.2741652727127,1.6875,212,0.12204060041856031,Catharanthus
16129.0,508.0,1.0,4,0.7853981633974483,Catharanthus
11617.5,568.6345567703247,0.8203125,185,0.4514982251311292,Catharanthus
16128.5,507.41421353816986,1.0,5,0.7871882188997527,Catharanthus
14437.5,481.639608502388,1.0,49,0.7820913306621486,Catharanthus
13428.5,475.0954524278641,1.0,53,0.7476108931732156,Catharanthus
14684.0,484.5685416460037,1.0,47,0.7858575094177034,Catharanthus
16129.0,508.0,1.0,4,0.7853981633974483,Catharanthus
15791.5,557.6396092176437,1.0,79,0.6381547707522472,Catharanthus
16129.0,508.0,1.0,4,0.7853981633974483,Catharanthus
461.0,207.88224971294403,4.733333333333333,73,0.13405282577166383,Catharanthus
3203.5,343.2964633703232,3.1052631578947367,90,0.341582752375602,Catharanthus
1575.0,237.19595754146576,0.6027397260273972,71,0.3517838160811929,Catharanthus
6296.5,774.3990561962128,0.6484375,328,0.1319408998588232,Catharanthus
5604.5,719.0853477716446,0.65625,323,0.1362027443853587,Catharanthus
7705.5,558.7178168296814,0.7109375,235,0.31018846768463854,Catharanthus
8830.0,1378.0285609960556,1.0,596,0.05843245454633155,Catharanthus
10659.0,1444.3372155427933,1.0,703,0.06420799712342791,Catharanthus
8170.0,1475.6509248018265,1.0,713,0.04714814949170815,Catharanthus
3738.0,461.98989498615265,0.8333333333333334,205,0.22008183994564798,Catharanthus
3809.0,448.21529042720795,0.8352941176470589,243,0.23825800484609,Catharanthus
3619.0,413.36247861385345,1.0547945205479452,187,0.26615604951329813,Catharanthus
8621.5,1679.859074831009,1.008130081300813,844,0.038392553391509425,Catharanthus
8514.0,1832.1849768161774,1.024,908,0.03187167398003972,Catharanthus
10298.0,1200.5138412714005,0.9921875,569,0.08979009029802651,Catharanthus
16129.0,508.0,1.0,4,0.7853981633974483,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
16109.5,517.0710676908493,1.0,14,0.7571666023033438,Curry
16097.0,511.65685415267944,1.0,13,0.7726756309585879,Curry
11609.0,573.906634926796,0.84375,173,0.4429168309738732,Curry
11102.0,664.6761865615845,0.9765625,206,0.3157845281547126,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
8845.0,634.4751764535904,0.6953125,216,0.27610764444238756,Curry
16129.0,508.0,1.0,4,0.7853981633974483,Curry
6097.0,852.6660820245743,0.59375,426,0.10538239968414256,Curry
8517.5,1320.2955861091614,0.8515625,670,0.061401596517038484,Curry
